Matrix Size,Time (ms)
5,0.012
8,0.013
10,0.018
20,0.073
30,0.206
40,0.478
50,0.895
60,1.564
70,2.394
80,3.565
90,5.137
100,6.9
200,53.733
300,181.657
400,429.352
500,837.384
600,1442.698
700,2292.112
1000,6689.741
1500,23023.231
2000,55348.587
2500,108174.642
3000,186602.443
