Matrix Size,Time (ms)
5,0.016
8,0.019
10,0.022
20,0.083
30,0.243
40,0.508
50,0.973
60,1.635
70,2.545
80,3.843
90,5.379
100,7.379
200,57.409
300,196.984
400,467.805
500,904.678
600,1562.384
700,2543.543
1000,7320.467
1500,25389.911
2000,59767.982
2500,116166.305
3000,200023.427
