Matrix Size,Time (ms)
5,0.015
8,0.016
10,0.021
20,0.103
30,0.246
40,0.563
50,1.114
60,1.804
70,5.405
80,4.202
90,6.083
100,8.198
200,64.875
300,219.627
400,519.085
500,1012.753
600,1782.441
700,2766.517
1000,8087.036
1500,27786.578
2000,66098.626
2500,128793.182
3000,221983.303
