Matrix Size,Time (ms)
5,0.014
8,0.016
10,0.021
20,0.08
30,0.242
40,0.532
50,0.993
60,1.685
70,2.657
80,3.963
90,5.519
100,7.564
200,58.882
300,199.17
400,471.328
500,915.95
600,1583.944
700,2530.591
1000,7426.311
1500,25796.381
2000,61111.114
2500,119071.972
3000,204305.153
