Matrix Size,Time (ms)
5,0.024
8,0.025
10,0.033
20,0.14
30,0.303
40,0.705
50,1.37
60,2.288
70,3.763
80,5.512
90,6.052
100,9.033
200,55.869
300,188.298
400,444.279
500,866.625
600,1499.841
700,2406.948
1000,7377.194
1500,25853.698
2000,61864.879
2500,121333.434
3000,208252.46
