Matrix Size,Time (ms)
5,0.021
8,0.019
10,0.023
20,0.08
30,0.214
40,0.493
50,0.951
60,1.594
70,2.476
80,3.734
90,5.21
100,7.165
200,55.807
300,187.82
400,443.964
500,864.384
600,1494.976
700,2382.274
1000,7102.981
1500,24891.148
2000,58920.933
2500,114651.297
3000,197355.279
