Matrix Size,Time (ms)
5,0.014
8,0.016
10,0.02
20,0.079
30,0.219
40,0.507
50,0.973
60,1.675
70,2.522
80,3.758
90,5.775
100,7.38
200,56.079
300,192.676
400,454.135
500,865.52
600,1530.494
700,2389.812
1000,6946.632
1500,24483.366
2000,57337.158
2500,112394.01
3000,193255.016
