Matrix Size,Time (ms)
5,0.014
8,0.016
10,0.019
20,0.08
30,0.23
40,0.52
50,1.009
60,1.671
70,2.626
80,3.901
90,5.497
100,7.567
200,58.89
300,198.44
400,465.93
500,884.773
600,1499.559
700,2337.883
1000,6690.026
1500,23152.934
2000,52310.136
2500,106997.793
3000,204246.027
