Matrix Size,Time (ms)
5,0.04
8,0.041
10,0.039
20,0.239
30,0.5
40,1.613
50,1.904
60,2.486
70,4.989
80,5.468
90,7.716
100,9.606
200,50.822
300,171.8
400,404.182
500,787.819
600,1359.672
700,2159.348
1000,6296.816
1500,21495.512
2000,52010.906
2500,102115.946
3000,176739.2
