Matrix Size,Time (ms)
5,0.014
8,0.015
10,0.019
20,0.088
30,0.216
40,0.508
50,1.031
60,1.631
70,2.555
80,3.772
90,5.369
100,7.305
200,57.288
300,194.137
400,459.786
500,895.506
600,1546.772
700,2455.718
1000,7383.752
1500,25612.767
2000,60864.019
2500,117344.665
3000,203075.86
