Matrix Size,Time (ms)
5,0.016
8,0.017
10,0.021
20,0.079
30,0.222
40,0.489
50,0.935
60,1.59
70,2.5
80,3.662
90,5.259
100,7.151
200,55.664
300,188.081
400,444.027
500,865.032
600,1500.604
700,2401.378
1000,7152.253
1500,24935.576
2000,58844.246
2500,113976.498
3000,196317.568
