Matrix Size,Time (ms)
5,0.014
8,0.016
10,0.021
20,0.079
30,0.217
40,0.502
50,0.967
60,1.685
70,2.646
80,3.97
90,5.449
100,7.596
200,58.857
300,199.177
400,471.376
500,917.854
600,1584.985
700,2534.865
1000,7435.782
1500,25570.561
2000,60693.023
2500,118331.878
3000,203204.983
