size,nthreads,run_id,time
32,32,1,0.004128
32,32,2,0.002762
32,32,3,0.002681
32,32,4,0.002682
32,32,5,0.002408
32,32,6,0.002184
32,32,7,0.002126
32,32,8,0.002098
32,32,9,0.00207
32,32,10,0.00209
64,32,1,0.004776
64,32,2,0.004705
64,32,3,0.004716
64,32,4,0.004691
64,32,5,0.004712
64,32,6,0.004772
64,32,7,0.004703
64,32,8,0.004721
64,32,9,0.004773
64,32,10,0.004779
128,32,1,0.012239
128,32,2,0.012026
128,32,3,0.012084
128,32,4,0.012046
128,32,5,0.01221
128,32,6,0.012344
128,32,7,0.012467
128,32,8,0.012405
128,32,9,0.01246
128,32,10,0.012479
256,32,1,0.039526
256,32,2,0.038133
256,32,3,0.038147
256,32,4,0.038357
256,32,5,0.038281
256,32,6,0.038138
256,32,7,0.038249
256,32,8,0.038203
256,32,9,0.038027
256,32,10,0.038192
512,32,1,0.159992
512,32,2,0.168079
512,32,3,0.17136
512,32,4,0.159827
512,32,5,0.161269
512,32,6,0.160736
512,32,7,0.164715
512,32,8,0.165531
512,32,9,0.165919
512,32,10,0.172494
1024,32,1,0.818108
1024,32,2,0.782054
1024,32,3,0.779222
1024,32,4,0.809508
1024,32,5,0.782986
1024,32,6,0.801468
1024,32,7,0.793823
1024,32,8,0.794091
1024,32,9,0.778059
1024,32,10,0.801605
2048,32,1,3.015213
2048,32,2,2.994668
2048,32,3,2.989858
2048,32,4,3.04787
2048,32,5,3.07244
2048,32,6,3.059624
2048,32,7,3.07335
2048,32,8,3.102892
2048,32,9,3.060065
2048,32,10,3.079198
4096,32,1,21.275961
4096,32,2,21.632608
4096,32,3,21.329057
4096,32,4,21.366506
4096,32,5,21.374085
4096,32,6,21.397789
4096,32,7,21.440214
4096,32,8,21.380268
4096,32,9,21.361042
4096,32,10,21.350129
8192,32,1,172.153177
8192,32,2,168.433091
8192,32,3,170.538014
8192,32,4,170.466403
8192,32,5,170.109772
8192,32,6,168.413924
8192,32,7,170.110864
8192,32,8,170.135134
8192,32,9,168.966896
8192,32,10,172.288407
32,64,1,0.386253
32,64,2,0.003781
32,64,3,0.003821
32,64,4,0.003797
32,64,5,0.003861
32,64,6,0.003857
32,64,7,0.003815
32,64,8,0.003804
32,64,9,0.003809
32,64,10,0.003787
64,64,1,0.008201
64,64,2,0.008149
64,64,3,0.008119
