,32,64,128,256,512,1024,2048,4096,8192
1,0.0004,0.0028,0.0215,0.1688,1.3477,10.7436,86.3403,807.985,
2,0.007,0.1057,0.0242,0.1157,0.7255,5.7131,46.8654,377.2418,2990.394
4,0.3223,0.0025,0.0234,0.0609,1.5308,2.861,19.924,163.6411,2072.5096
8,0.0011,0.003,0.0098,0.0463,0.2664,1.4978,10.9763,87.8039,764.806
16,0.0018,0.0037,0.0113,0.043,0.1974,0.9141,5.2606,41.2144,333.7129
32,0.0025,0.0047,0.0123,0.0383,0.165,0.7941,3.0495,21.3908,170.1616
64,0.0231,0.0083,0.0197,0.0557,0.2008,0.7979,2.6362,19.3316,210.2331
