size,nthreads,run_id,time
64,4,1,0.005947
64,4,2,0.004798
64,4,3,0.004174
64,4,4,0.003476
64,4,5,0.003437
64,4,6,0.003527
64,4,7,0.003472
64,4,8,0.003360
64,4,9,0.003441
64,4,10,0.003438
512,4,1,0.368803
512,4,2,0.372724
512,4,3,0.376755
512,4,4,0.372742
512,4,5,0.364958
512,4,6,0.377563
512,4,7,0.375308
512,4,8,0.386054
512,4,9,0.372441
512,4,10,0.373252
