Matrix Size,Time (ms)
5,0.035
8,0.04
10,0.034
20,0.238
30,0.58
40,1.616
50,1.611
60,2.621
70,4.068
80,5.937
90,7.164
100,9.508
200,53.884
300,181.724
400,428.223
500,836.218
600,1444.066
700,2293.147
1000,6683.857
1500,22972.575
2000,54971.893
2500,107374.122
3000,185532.712
