Matrix Size,Time (ms)
5,1.624
8,2.46
10,3.03
20,5.894
30,9.45
40,12.954
50,17.274
60,21.901
70,27.144
80,32.91
90,39.415
100,47.011
200,178.082
300,459.233
400,961.42
500,1741.784
600,2870.548
700,4415.879
1000,12205.488
1500,39644.919
2000,92792.181
2500,179142.267
3000,307840.211
