Matrix Size,Time (ms)
5,0.774
8,3.746
10,4.064
20,8.696
30,9.581
40,12.307
50,16.456
60,17.414
70,23.187
80,27.04
90,30.637
100,36.989
200,154.717
300,440.172
400,949.491
500,1791.101
600,2966.894
700,4573.838
1000,12667.452
1500,40838.931
2000,94185.934
2500,181637.131
3000,313730.471
