Matrix Size,Time (ms)
5,11.293
8,13.586
10,17.237
20,27.798
30,38.439
40,50.118
50,60.42
60,72.662
70,86.53
80,99.644
90,113.311
100,127.342
200,330.787
300,682.921
400,1235.613
500,2055.199
600,3212.594
700,4775.575
1000,12401.709
1500,37854.578
2000,88037.909
2500,167673.592
3000,285770.987
