Matrix Size,Time (ms)
5,5.982
8,11.596
10,11.775
20,18.905
30,24.792
40,28.601
50,35.46
60,41.916
70,48.872
80,58.977
90,65.029
100,74.123
200,219.845
300,509.677
400,1002.8
500,1759.152
600,2842.439
700,4323.889
1000,11646.565
1500,37140.817
2000,86183.834
2500,166198.976
3000,284339.918
