Matrix Size,Time (ms)
5,0.003
8,0.007
10,0.01
20,0.065
30,0.211
40,0.486
50,0.982
60,1.658
70,26.781
80,40.082
90,25.757
100,176.898
200,1340.572
300,4430.981
400,3702.547
500,13744.118
600,21025.395
700,35879.32
1000,127360.275
1500,471005.139
