Matrix Size,Time (ms)
5,0.121
8,0.253
10,0.37
20,1.463
30,2.499
40,5.52
50,7.578
60,12.777
70,17.083
80,17.538
90,22.042
100,22.89
200,121.234
300,369.884
400,827.791
500,1565.593
600,2651.342
700,4164.678
1000,11493.334
1500,41090.131
2000,88801.955
2500,171413.316
3000,300495.513
