Matrix Size,Time (ms),Type
50,0.982,Serial
60,1.658,Serial
70,26.781,Serial
80,40.082,Serial
90,25.757,Serial
100,176.898,Serial
200,1340.572,Serial
300,4430.981,Serial
400,3702.547,Serial
500,13744.118,Serial
600,21025.395,Serial
700,35879.32,Serial
1000,127360.275,Serial
1500,471005.139,Serial
